f_hz,l_em_h,l_fit_h,q_em,q_fit,re_zse_em,re_zse_fit,im_zse_em,im_zse_fit
1.095e+10,9.14252e-11,9.13374e-11,9.20724,9.15925,0.683172,0.686092,6.29013,6.28409
1.1e+10,9.14082e-11,9.13198e-11,9.22671,9.18034,0.684716,0.68751,6.31768,6.31157
1.105e+10,9.13913e-11,9.13024e-11,9.24621,9.20139,0.686251,0.688924,6.34523,6.33906
1.11e+10,9.13746e-11,9.12852e-11,9.26569,9.22241,0.687782,0.690333,6.37277,6.36654
1.115e+10,9.13579e-11,9.12681e-11,9.28513,9.24341,0.689308,0.691738,6.40031,6.39402
1.12e+10,9.13414e-11,9.12511e-11,9.30454,9.26437,0.690829,0.693139,6.42785,6.42149
1.125e+10,9.1325e-11,9.12343e-11,9.32392,9.2853,0.692346,0.694536,6.45538,6.44897
1.13e+10,9.13087e-11,9.12176e-11,9.34324,9.30621,0.693861,0.695928,6.48292,6.47645
1.135e+10,9.12925e-11,9.12011e-11,9.36261,9.32708,0.695367,0.697317,6.51045,6.50393
1.14e+10,9.12764e-11,9.11847e-11,9.38188,9.34793,0.696872,0.698701,6.53798,6.53141
1.145e+10,9.12605e-11,9.11685e-11,9.40117,9.36874,0.698371,0.700082,6.5655,6.55889
1.15e+10,9.12446e-11,9.11524e-11,9.42041,9.38953,0.699867,0.701459,6.59303,6.58637
1.155e+10,9.12289e-11,9.11364e-11,9.43959,9.41028,0.70136,0.702832,6.62055,6.61384
1.16e+10,9.12133e-11,9.11206e-11,9.45879,9.43101,0.702846,0.704201,6.64808,6.64132
1.165e+10,9.11978e-11,9.11049e-11,9.47795,9.4517,0.70433,0.705566,6.6756,6.6688
1.17e+10,9.11824e-11,9.10894e-11,9.49709,9.47237,0.705808,0.706927,6.70312,6.69628
1.175e+10,9.11671e-11,9.10739e-11,9.51618,9.49301,0.707283,0.708285,6.73063,6.72375
1.18e+10,9.11519e-11,9.10587e-11,9.53527,9.51362,0.708753,0.709639,6.75815,6.75123
1.185e+10,9.11369e-11,9.10435e-11,9.55431,9.53419,0.71022,0.71099,6.78566,6.77871
1.19e+10,9.11219e-11,9.10285e-11,9.57335,9.55474,0.711681,0.712336,6.81318,6.80619
1.195e+10,9.11071e-11,9.10136e-11,9.59232,9.57526,0.713143,0.71368,6.84069,6.83367
1.2e+10,9.10923e-11,9.09988e-11,9.61128,9.59575,0.714598,0.71502,6.8682,6.86115
1.205e+10,9.10777e-11,9.09842e-11,9.63024,9.61621,0.716047,0.716356,6.89571,6.88863
1.21e+10,9.10631e-11,9.09696e-11,9.64913,9.63664,0.717496,0.717689,6.92322,6.91611
1.215e+10,9.10487e-11,9.09553e-11,9.66802,9.65704,0.718939,0.719019,6.95072,6.94359
1.22e+10,9.10344e-11,9.0941e-11,9.68689,9.67741,0.720379,0.720345,6.97823,6.97107
1.225e+10,9.10201e-11,9.09268e-11,9.70572,9.69775,0.721815,0.721668,7.00573,6.99855
1.23e+10,9.1006e-11,9.09128e-11,9.72452,9.71806,0.723248,0.722987,7.03323,7.02603
1.235e+10,9.0992e-11,9.08989e-11,9.74326,9.73834,0.724679,0.724304,7.06074,7.05351
