 frequency       c_cmim_20u      q_cmim_20u      c_cmim_35u      q_cmim_35u      c_cmim_50u      q_cmim_50u      c_rfcmim_20u    q_rfcmim_20u    c_rfcmim_35u    q_rfcmim_35u    c_rfcmim_50u    q_rfcmim_50u    l_ref           q_ref          
 1.68281732e+09  5.43073794e-13  3.16636928e+03  1.65896311e-12  1.03653347e+03  3.38220130e-12  5.08416145e+02  5.43628350e-13  5.62600845e+02  1.66571202e-12  2.15355113e+02  3.41826458e-12  9.80507619e+01  1.01089247e-09  5.22550735e+00 
 1.76252766e+09  5.43073789e-13  3.02317020e+03  1.65896296e-12  9.89656232e+02  3.38220003e-12  4.85423019e+02  5.43682009e-13  5.36688136e+02  1.66636800e-12  2.05263253e+02  3.42179376e-12  9.33676166e+01  1.01200117e-09  5.46702164e+00 
 1.84601365e+09  5.43073784e-13  2.88644729e+03  1.65896280e-12  9.44899017e+02  3.38219864e-12  4.63469757e+02  5.43740869e-13  5.11926668e+02  1.66708795e-12  1.95612667e+02  3.42567203e-12  8.88856960e+01  1.01322020e-09  5.71908164e+00 
 1.93345414e+09  5.43073779e-13  2.75590768e+03  1.65896262e-12  9.02165948e+02  3.38219711e-12  4.42509331e+02  5.43805432e-13  4.88263620e+02  1.66787814e-12  1.86382904e+02  3.42993463e-12  8.45955685e+01  1.01456082e-09  5.98205372e+00 
 2.02503643e+09  5.43073772e-13  2.63127173e+03  1.65896242e-12  8.61365482e+02  3.38219544e-12  4.22496842e+02  5.43876250e-13  4.65648554e+02  1.66874549e-12  1.77554439e+02  3.43462057e-12  8.04882353e+01  1.01603553e-09  6.25630175e+00 
 2.12095673e+09  5.43073765e-13  2.51227243e+03  1.65896220e-12  8.22410218e+02  3.38219360e-12  4.03389417e+02  5.43953931e-13  4.44033312e+02  1.66969756e-12  1.69108644e+02  3.43977296e-12  7.65551147e+01  1.01765820e-09  6.54218403e+00 
 2.22142050e+09  5.43073757e-13  2.39865488e+03  1.65896197e-12  7.85216705e+02  3.38219159e-12  3.85146125e+02  5.44039136e-13  4.23371919e+02  1.67074272e-12  1.61027747e+02  3.44543953e-12  7.27880258e+01  1.01944420e-09  6.84004968e+00 
 2.32664295e+09  5.43073749e-13  2.29017569e+03  1.65896171e-12  7.49705270e+02  3.38218938e-12  3.67727887e+02  5.44132597e-13  4.03620485e+02  1.67189015e-12  1.53294797e+02  3.45167319e-12  6.91791745e+01  1.02141063e-09  7.15023426e+00 
 2.43684950e+09  5.43073739e-13  2.18660247e+03  1.65896142e-12  7.15799840e+02  3.38218695e-12  3.51097389e+02  5.44235110e-13  3.84737121e+02  1.67314994e-12  1.45893638e+02  3.45853259e-12  6.57211402e+01  1.02357649e-09  7.47305466e+00 
 2.55227623e+09  5.43073729e-13  2.08771334e+03  1.65896111e-12  6.83427784e+02  3.38218429e-12  3.35219005e+02  5.44347552e-13  3.66681852e+02  1.67453322e-12  1.38808873e+02  3.46608286e-12  6.24068632e+01  1.02596298e-09  7.80880307e+00 
 2.67317039e+09  5.43073717e-13  1.99329648e+03  1.65896076e-12  6.52519754e+02  3.38218137e-12  3.20058722e+02  5.44470884e-13  3.49416539e+02  1.67605225e-12  1.32025842e+02  3.47439642e-12  5.92296338e+01  1.02859374e-09  8.15773991e+00 
 2.79979097e+09  5.43073704e-13  1.90314962e+03  1.65896039e-12  6.23009540e+02  3.38217817e-12  3.05584062e+02  5.44606159e-13  3.32904807e+02  1.67772052e-12  1.25530593e+02  3.48355382e-12  5.61830817e+01  1.03149517e-09  8.52008549e+00 
 2.93240922e+09  5.43073690e-13  1.81707966e+03  1.65895997e-12  5.94833926e+02  3.38217466e-12  2.91764019e+02  5.44754533e-13  3.17111970e+02  1.67955291e-12  1.19309859e+02  3.49364488e-12  5.32611665e+01  1.03469686e-09  8.89601034e+00 
 3.07130921e+09  5.43073674e-13  1.73490221e+03  1.65895952e-12  5.67932555e+02  3.38217081e-12  2.78568988e+02  5.44917273e-13  3.02004970e+02  1.68156583e-12  1.13351038e+02  3.50476983e-12  5.04581688e+01  1.03823197e-09  9.28562389e+00 
 3.21678851e+09  5.43073657e-13  1.65644124e+03  1.65895902e-12  5.42247798e+02  3.38216658e-12  2.65970702e+02  5.45095766e-13  2.87552313e+02  1.68377736e-12  1.07642170e+02  3.51704073e-12  4.77686825e+01  1.04213778e-09  9.68896123e+00 
 3.36915876e+09  5.43073638e-13  1.58152866e+03  1.65895847e-12  5.17724635e+02  3.38216194e-12  2.53942174e+02  5.45291538e-13  2.73724008e+02  1.68620750e-12  1.02171919e+02  3.53058312e-12  4.51876070e+01  1.04645630e-09  1.01059678e+01 
 3.52874636e+09  5.43073617e-13  1.51000401e+03  1.65895787e-12  4.94310532e+02  3.38215686e-12  2.42457636e+02  5.45506258e-13  2.60491521e+02  1.68887832e-12  9.69295541e+01  3.54553785e-12  4.27101401e+01  1.05123495e-09  1.05364814e+01 
 3.69589317e+09  5.43073594e-13  1.44171406e+03  1.65895721e-12  4.71955332e+02  3.38215128e-12  2.31492486e+02  5.45741759e-13  2.47827715e+02  1.69181423e-12  9.19049364e+01  3.56206337e-12  4.03317715e+01  1.05652746e-09  1.09802116e+01 
 3.87095726e+09  5.43073569e-13  1.37651253e+03  1.65895649e-12  4.50611146e+02  3.38214516e-12  2.21023236e+02  5.46000049e-13  2.35706808e+02  1.69504221e-12  8.70884994e+01  3.58033831e-12  3.80482757e+01  1.06239482e-09  1.14367159e+01 
 4.05431365e+09  5.43073541e-13  1.31425973e+03  1.65895570e-12  4.30232252e+02  3.38213844e-12  2.11027457e+02  5.46283332e-13  2.24104329e+02  1.69859218e-12  8.24712351e+01  3.60056455e-12  3.58557049e+01  1.06890658e-09  1.19053714e+01 
 4.24635511e+09  5.43073511e-13  1.25482232e+03  1.65895483e-12  4.10774993e+02  3.38213108e-12  2.01483738e+02  5.46594025e-13  2.12997071e+02  1.70249728e-12  7.80446786e+01  3.62297095e-12  3.37503824e+01  1.07614222e-09  1.23853429e+01 
 4.44749304e+09  5.43073477e-13  1.19807296e+03  1.65895388e-12  3.92197689e+02  3.38212300e-12  1.92371633e+02  5.46934777e-13  2.02363055e+02  1.70679429e-12  7.38008931e+01  3.64781771e-12  3.17288937e+01  1.08419302e-09  1.28755455e+01 
 4.65815830e+09  5.43073441e-13  1.14389010e+03  1.65895283e-12  3.74460543e+02  3.38211414e-12  1.83671624e+02  5.47308498e-13  1.92181492e+02  1.71152407e-12  6.97324532e+01  3.67540166e-12  2.97880786e+01  1.09316419e-09  1.33746015e+01 
 4.87880219e+09  5.43073401e-13  1.09215765e+03  1.65895168e-12  3.57525561e+02  3.38210442e-12  1.75365072e+02  5.47718379e-13  1.82432742e+02  1.71673211e-12  6.58324286e+01  3.70606270e-12  2.79250203e+01  1.10317762e-09  1.38807906e+01 
 5.10989736e+09  5.43073357e-13  1.04276481e+03  1.65895042e-12  3.41356463e+02  3.38209375e-12  1.67434185e+02  5.48167920e-13  1.73098282e+02  1.72246906e-12  6.20943651e+01  3.74019153e-12  2.61370341e+01  1.11437515e-09  1.43919923e+01 
 5.35193887e+09  5.43073308e-13  9.95605760e+02  1.65894904e-12  3.25918612e+02  3.38208205e-12  1.59861972e+02  5.48660965e-13  1.64160667e+02  1.72879147e-12  5.85122644e+01  3.77823932e-12  2.44216544e+01  1.12692286e-09  1.49056197e+01 
 5.60544519e+09  5.43073255e-13  9.50579478e+02  1.65894753e-12  3.11178939e+02  3.38206922e-12  1.52632212e+02  5.49201735e-13  1.55603494e+02  1.73576258e-12  5.50805615e+01  3.82072943e-12  2.27766192e+01  1.14101632e-09  1.54185423e+01 
 5.87095941e+09  5.43073197e-13  9.07589509e+02  1.65894587e-12  2.97105868e+02  3.38205514e-12  1.45729418e+02  5.49794864e-13  1.47411363e+02  1.74345325e-12  5.17940993e+01  3.86827216e-12  2.11998533e+01  1.15688740e-09  1.59269984e+01 
 6.14905028e+09  5.43073133e-13  8.66543762e+02  1.65894405e-12  2.83669251e+02  3.38203970e-12  1.39138803e+02  5.50445448e-13  1.39569834e+02  1.75194304e-12  4.86481000e+01  3.92158322e-12  1.96894484e+01  1.17481303e-09  1.64264925e+01 
 6.44031354e+09  5.43073063e-13  8.27354310e+02  1.65894205e-12  2.70840306e+02  3.38202276e-12  1.32846249e+02  5.51159084e-13  1.32065388e+02  1.76132153e-12  4.56381340e+01  3.98150706e-12  1.82436424e+01  1.19512666e-09  1.69116783e+01 
 6.74537312e+09  5.43072986e-13  7.89937201e+02  1.65893985e-12  2.58591550e+02  3.38200417e-12  1.26838276e+02  5.51941936e-13  1.24885374e+02  1.77168985e-12  4.27600848e+01  4.04904666e-12  1.68607954e+01  1.21823336e-09  1.73762232e+01 
 7.06488252e+09  5.43072902e-13  7.54212282e+02  1.65893745e-12  2.46896744e+02  3.38198379e-12  1.21102014e+02  5.52800783e-13  1.18017962e+02  1.78316252e-12  4.00101115e+01  4.12540198e-12  1.55393656e+01  1.24463020e-09  1.78126522e+01 
 7.39952619e+09  5.43072809e-13  7.20103022e+02  1.65893481e-12  2.35730835e+02  3.38196143e-12  1.15625173e+02  5.53743099e-13  1.11452086e+02  1.79586963e-12  3.73846085e+01  4.21201985e-12  1.42778823e+01  1.27493383e-09  1.82121689e+01 
 7.75002098e+09  5.43072708e-13  6.87536354e+02  1.65893191e-12  2.25069905e+02  3.38193690e-12  1.10396024e+02  5.54777124e-13  1.05177384e+02  1.80995955e-12  3.48801623e+01  4.31065973e-12  1.30749199e+01  1.30991884e-09  1.85644482e+01 
 8.11711773e+09  5.43072596e-13  6.56442514e+02  1.65892874e-12  2.14891116e+02  3.38190999e-12  1.05403362e+02  5.55911958e-13  9.91841303e+01  1.82560213e-12  3.24935079e+01  4.42348092e-12  1.19290707e+01  1.35057186e-09  1.88573985e+01 
